Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
94175;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94160;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94164;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94131;San Francisco;CA;37.741797;-122.4378;-8;1;37.741797,-122.4378
94114;San Francisco;CA;37.758434;-122.43512;-8;1;37.758434,-122.43512
94156;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94142;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94107;San Francisco;CA;37.766529;-122.39577;-8;1;37.766529,-122.39577
94118;San Francisco;CA;37.782029;-122.46158;-8;1;37.782029,-122.46158
94103;San Francisco;CA;37.772329;-122.41087;-8;1;37.772329,-122.41087
94162;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94139;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94145;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94128;San Francisco;CA;37.621964;-122.39534;-8;1;37.621964,-122.39534
94136;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94151;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94121;San Francisco;CA;37.778729;-122.49265;-8;1;37.778729,-122.49265
94163;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94127;San Francisco;CA;37.734964;-122.4597;-8;1;37.734964,-122.4597
94120;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94134;San Francisco;CA;37.719581;-122.41085;-8;1;37.719581,-122.41085
94123;San Francisco;CA;37.801028;-122.43836;-8;1;37.801028,-122.43836
94119;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94135;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94133;San Francisco;CA;37.801878;-122.41018;-8;1;37.801878,-122.41018
94108;San Francisco;CA;37.792678;-122.40793;-8;1;37.792678,-122.40793
94154;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94137;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94143;San Francisco;CA;37.76313;-122.458582;-8;1;37.76313,-122.458582
94146;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94165;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94155;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94116;San Francisco;CA;37.743381;-122.48578;-8;1;37.743381,-122.48578
94177;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94130;San Francisco;CA;37.819423;-122.36966;-8;1;37.819423,-122.36966
94150;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94112;San Francisco;CA;37.720931;-122.44241;-8;1;37.720931,-122.44241
94102;San Francisco;CA;37.779329;-122.41915;-8;1;37.779329,-122.41915
94138;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94083;South San Francisco;CA;37.381144;-122.334825;-8;1;37.381144,-122.334825
94169;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94144;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94140;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94153;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94152;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94166;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94126;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94101;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94109;San Francisco;CA;37.792778;-122.42188;-8;1;37.792778,-122.42188
94157;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94106;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94111;San Francisco;CA;37.798228;-122.40027;-8;1;37.798228,-122.40027
94115;San Francisco;CA;37.786129;-122.43736;-8;1;37.786129,-122.43736
94132;San Francisco;CA;37.724231;-122.47958;-8;1;37.724231,-122.47958
94124;San Francisco;CA;37.732797;-122.39348;-8;1;37.732797,-122.39348
94129;San Francisco;CA;37.79984;-122.46167;-8;1;37.79984,-122.46167
94170;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94171;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94147;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94117;San Francisco;CA;37.770937;-122.44276;-8;1;37.770937,-122.44276
94172;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94104;San Francisco;CA;37.791728;-122.4019;-8;1;37.791728,-122.4019
94159;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94167;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94125;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94080;South San Francisco;CA;37.652857;-122.4301;-8;1;37.652857,-122.4301
94122;San Francisco;CA;37.75838;-122.48478;-8;1;37.75838,-122.48478
94141;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94110;San Francisco;CA;37.74873;-122.41545;-8;1;37.74873,-122.41545
94168;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94099;South San Francisco;CA;37.381144;-122.334825;-8;1;37.381144,-122.334825
94188;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
94105;San Francisco;CA;37.789228;-122.3957;-8;1;37.789228,-122.3957
94161;San Francisco;CA;37.784827;-122.727802;-8;1;37.784827,-122.727802
